n_per_arm_nominal,baseline_callback_rate,risk_difference,cluster_size,icc,design_effect,effective_n_per_arm,approx_power_cluster_adjusted
10,0.3,0.10000000000000003,8,0.05,1.35,7.4074074074074066,0.05991197708458554
10,0.3,0.10000000000000003,8,0.1,1.7000000000000002,5.88235294117647,0.05484984552732213
10,0.3,0.14999999999999997,2,0.01,1.01,9.900990099009901,0.10253820981851794
10,0.3,0.14999999999999997,2,0.05,1.05,9.523809523809524,0.10017696867847714
10,0.3,0.14999999999999997,2,0.1,1.1,9.09090909090909,0.09745936031918466
10,0.3,0.14999999999999997,4,0.01,1.03,9.70873786407767,0.10133538681947886
10,0.3,0.14999999999999997,4,0.05,1.15,8.695652173913045,0.09497018126307327
10,0.3,0.14999999999999997,4,0.1,1.3,7.692307692307692,0.08861107830520643
10,0.3,0.14999999999999997,8,0.01,1.07,9.345794392523365,0.09906047474240735
10,0.3,0.14999999999999997,8,0.05,1.35,7.4074074074074066,0.08679291810192717
10,0.3,0.14999999999999997,8,0.1,1.7000000000000002,5.88235294117647,0.07693357554184233
10,0.3,0.2,2,0.01,1.01,9.900990099009901,0.14816150809824888
10,0.3,0.2,2,0.05,1.05,9.523809523809524,0.14412678493512834
10,0.3,0.2,2,0.1,1.1,9.09090909090909,0.13949142264310466
10,0.3,0.2,4,0.01,1.03,9.70873786407767,0.146105415149024
10,0.3,0.2,4,0.05,1.15,8.695652173913045,0.13525430387367685
10,0.3,0.2,4,0.1,1.3,7.692307692307692,0.12447303743284015
10,0.3,0.2,8,0.01,1.07,9.345794392523365,0.14222128099046374
10,0.3,0.2,8,0.05,1.35,7.4074074074074066,0.12140349437386948
10,0.3,0.2,8,0.1,1.7000000000000002,5.88235294117647,0.10488131397320019
10,0.3,0.3,2,0.01,1.01,9.900990099009901,0.27547555136044466
10,0.3,0.3,2,0.05,1.05,9.523809523809524,0.2667863265017838
10,0.3,0.3,2,0.1,1.1,9.09090909090909,0.25677803289661927
10,0.3,0.3,4,0.01,1.03,9.70873786407767,0.2710503078092381
10,0.3,0.3,4,0.05,1.15,8.695652173913045,0.24760943565013604
10,0.3,0.3,4,0.1,1.3,7.692307692307692,0.22422019974715143
10,0.3,0.3,8,0.01,1.07,9.345794392523365,0.26267519257514993
10,0.3,0.3,8,0.05,1.35,7.4074074074074066,0.2175524484018959
10,0.3,0.3,8,0.1,1.7000000000000002,5.88235294117647,0.1817034548443481
40,0.05,0.05,2,0.01,1.01,39.603960396039604,0.13491272726088632
40,0.05,0.05,2,0.05,1.05,38.095238095238095,0.1313702443069808
40,0.05,0.05,2,0.1,1.1,36.36363636363636,0.12729927629269616
40,0.05,0.05,4,0.01,1.03,38.83495145631068,0.13310758283241902
40,0.05,0.05,4,0.05,1.15,34.78260869565218,0.1235768101427247
40,0.05,0.05,4,0.1,1.3,30.769230769230766,0.11409823840735486
40,0.05,0.05,8,0.01,1.07,37.38317757009346,0.12969690944654083
40,0.05,0.05,8,0.05,1.35,29.629629629629626,0.11139741424011998
40,0.05,0.05,8,0.1,1.7000000000000002,23.52941176470588,0.09683774669976523
40,0.05,0.10000000000000002,2,0.01,1.01,39.603960396039604,0.33449717351124597
